Added Component: Designator=SHIELD(Arduino Mega Shield)
Added Pin To Net: NetName=3.3V Pin=SHIELD-3V3
Added Pin To Net: NetName=5V Pin=SHIELD-5V
Added Pin To Net: NetName=5V Pin=SHIELD-5V
Added Pin To Net: NetName=5V Pin=SHIELD-5V
Added Pin To Net: NetName=WS2812_1 Pin=SHIELD-22
Added Pin To Net: NetName=WS2812_2 Pin=SHIELD-23
Added Pin To Net: NetName=WS2812_3 Pin=SHIELD-24
Added Pin To Net: NetName=25 Pin=SHIELD-25
Added Pin To Net: NetName=26 Pin=SHIELD-26
Added Pin To Net: NetName=27 Pin=SHIELD-27
Added Pin To Net: NetName=28 Pin=SHIELD-28
Added Pin To Net: NetName=29 Pin=SHIELD-29
Added Pin To Net: NetName=30 Pin=SHIELD-30
Added Pin To Net: NetName=31 Pin=SHIELD-31
Added Pin To Net: NetName=32 Pin=SHIELD-32
Added Pin To Net: NetName=33 Pin=SHIELD-33
Added Pin To Net: NetName=34 Pin=SHIELD-34
Added Pin To Net: NetName=35 Pin=SHIELD-35
Added Pin To Net: NetName=36 Pin=SHIELD-36
Added Pin To Net: NetName=37 Pin=SHIELD-37
Added Pin To Net: NetName=38 Pin=SHIELD-38
Added Pin To Net: NetName=39 Pin=SHIELD-39
Added Pin To Net: NetName=40 Pin=SHIELD-40
Added Pin To Net: NetName=41 Pin=SHIELD-41
Added Pin To Net: NetName=CAN_CS Pin=SHIELD-42
Added Pin To Net: NetName=SD_CS Pin=SHIELD-43
Added Pin To Net: NetName=44 Pin=SHIELD-44
Added Pin To Net: NetName=45 Pin=SHIELD-45
Added Pin To Net: NetName=46 Pin=SHIELD-46
Added Pin To Net: NetName=OLED_CS Pin=SHIELD-47
Added Pin To Net: NetName=OLED_RESET Pin=SHIELD-48
Added Pin To Net: NetName=OLED_DC Pin=SHIELD-49
Added Pin To Net: NetName=MISO Pin=SHIELD-50
Added Pin To Net: NetName=MOSI Pin=SHIELD-51
Added Pin To Net: NetName=SCK Pin=SHIELD-52
Added Pin To Net: NetName=SS Pin=SHIELD-53
Added Pin To Net: NetName=POT_1 Pin=SHIELD-A2
Added Pin To Net: NetName=POT_2 Pin=SHIELD-A3
Added Pin To Net: NetName=POT_3 Pin=SHIELD-A4
Added Pin To Net: NetName=POT_4 Pin=SHIELD-A5
Added Pin To Net: NetName=POT_5 Pin=SHIELD-A6
Added Pin To Net: NetName=POT_6 Pin=SHIELD-A7
Added Pin To Net: NetName=GND Pin=SHIELD-GND
Added Pin To Net: NetName=GND Pin=SHIELD-GND
Added Pin To Net: NetName=GND Pin=SHIELD-GND
Added Pin To Net: NetName=GND Pin=SHIELD-GND
Added Pin To Net: NetName=GND Pin=SHIELD-GND
Added Pin To Net: NetName=RS Pin=SHIELD-RESET
Added Pin To Net: NetName=GPS_TX Pin=SHIELD-RX1
Added Pin To Net: NetName=SCL Pin=SHIELD-SCL
Added Pin To Net: NetName=SDA Pin=SHIELD-SDA
Added Member To Class: ClassName=datalogger Member=Component SHIELD Arduino Mega2560 R3
